"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342220101,"* h Dra",15.257857796765332,"PACS100","100",0.0148614,0.0148614,0.914648,254.0088211874882,65.13496168749758
1342223326,"* ups And",13.491635186184565,"PACS100","100",0.0292592,0.0292592,2.35553,24.198612602968808,41.40423931944445
1342224848,"* alf Cen B",1.3458950201884252,"PACS100","100",0.726923,0.726923,0.177146,219.87223028051926,-60.834943907562845
1342224848,"* alf Cen A",1.3458950201884252,"PACS100","100",1.70271,1.70271,-1.14022,219.8777667314085,-60.83246861287346
1342216480,"HD 181342",120.80504481867165,"PACS100","100",0.00337513,0.00337513,1.28524,290.26746780020136,-23.61966404375296
1342221813,"HD 166494",114.36675129806262,"PACS100","100",0.00164833,0.00164833,1.47196,271.872732624458,56.80210560465588
1342224634,"HD 125607",130.16087884625395,"PACS100","100",0.00191226,0.00191226,1.42737,214.86317697530893,37.60986176146423
1342225421,"HD 142245",97.50199879097522,"PACS100","100",0.00389745,0.00389745,0.613345,238.23430918669277,15.43063550231501
1342229965,"HD 158038",95.12304165437993,"PACS100","100",0.00366107,0.00366107,0.958629,261.4394801115912,27.303130345040277
1342231682,"HD 188386",165.2701340340787,"PACS100","100",0.00195979,0.00195979,1.04104,298.6991388440899,5.702860145092274
1342234072,"HD 180053",137.58564706529813,"PACS100","100",0.00193887,0.00193887,-0.383153,288.4008494311605,34.91463771666794
1342234341,"HD 167042",49.73417085677056,"PACS100","100",0.0132142,0.0132142,-0.804128,272.63244820536875,54.28737798669148
1342235118,"HD 131496",132.33639912657978,"PACS100","100",0.00915073,0.00288437,4.56868,223.34610477604082,18.235294979996237
1342237470,"HD 12137",158.74023747539528,"PACS100","100",0.00307174,0.00307174,2.11974,30.089600546662066,44.102673153309595
1342243724,"HD 184010",60.90467808832396,"PACS100","100",0.0139212,0.0139212,1.52719,292.84013155737273,26.617257436945543
1342223848,"HD 218396",41.29245380406731,"PACS70","70",0.417974,0.00638125,16.8362,346.87002229730064,21.13409139351999
1342223850,"HD 218396",41.29245380406731,"PACS100","100",0.632664,0.00313225,22.2878,346.87002229730064,21.13409139351999
1342216571,"HD 189002",142.571998859424,"PACS70","70",0.0287058,0.000496653,15.3571,299.6066385510715,-14.011983282500763
